Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-03-27,3551.68,3555.38,2864.0,2864.0,13637.356,44493163.7158,3262.59457595
2014-03-26,3565.99,3616.69,3493.01,3557.36,2903.886,10318845.8026,3553.46105274
2014-03-25,3570.03,3582.24,3505.01,3566.01,2277.138,8072878.59544,3545.18636791
2014-03-24,3467.97,3588.01,3360.0,3570.04,4836.001,16634352.4011,3439.69167937
2014-03-23,3485.04,3493.27,3456.1,3469.17,1574.695,5475937.82359,3477.4593325
2014-03-22,3522.99,3576.24,3426.8,3483.0,3058.791,10678725.8349,3491.15903468
2014-03-21,3655.0,3716.19,3301.0,3517.77,9794.908,34774595.8223,3550.27283791
2014-03-20,3740.0,3740.01,3633.01,3655.0,2854.628,10513364.8976,3682.91941982
2014-03-19,3743.1,3849.11,3728.0,3740.0,3793.019,14349112.3094,3783.03201472
2014-03-18,3754.99,3754.99,3680.03,3743.0,3699.569,13745640.0104,3715.47064278
2014-03-17,3846.13,3858.0,3737.0,3754.99,2740.178,10370978.8991,3784.78292255
2014-03-16,3852.0,3865.9,3846.0,3846.14,1505.641,5799074.65911,3851.56531943
2014-03-15,3825.7,3861.02,3813.0,3852.0,1128.784,4333990.37582,3839.52144593
2014-03-14,3907.5,3907.6,3805.7,3825.0,2972.182,11441488.7437,3849.52494284
2014-03-13,3860.69,3918.49,3855.22,3907.51,2889.381,11240822.6607,3890.39128473
2014-03-12,3822.04,3890.23,3812.29,3860.69,3158.624,12189005.5844,3858.96060574
2014-03-11,3813.78,3847.65,3779.67,3822.04,3108.86,11843940.6169,3809.73752981
2014-03-10,3824.38,3881.0,3772.37,3813.77,3342.483,12762745.7132,3818.34274496
2014-03-09,3712.55,3877.99,3683.66,3824.38,4236.81,16042636.2177,3786.48941485
2014-03-08,3831.77,3884.0,3666.0,3713.31,5079.371,19025884.8146,3745.71670678
2014-03-07,3948.99,3950.72,3804.0,3830.33,4087.306,15884454.5198,3886.28953149
2014-03-06,3985.48,4005.55,3894.79,3948.99,5584.094,22069169.4844,3952.14863583
2014-03-05,4068.0,4088.99,3859.49,3985.49,8037.609,31853924.0728,3963.10943625
2014-03-04,3951.01,4295.33,3882.22,4068.0,15357.473,62347089.1577,4059.72318217
2014-03-03,3435.57,4094.0,3412.01,3952.82,16585.383,61448882.8545,3705.00234179
2014-03-02,3465.15,3481.03,3423.82,3435.08,2639.353,9109619.06295,3451.45915039
2014-03-01,3411.67,3494.51,3390.0,3465.83,5016.784,17321749.919,3452.75975984
2014-02-28,3547.23,3550.0,3368.0,3414.99,7173.05,24817162.5963,3459.77828068
2014-02-27,3549.97,3616.0,3451.86,3547.23,6713.875,23735440.0446,3535.2817925
2014-02-26,3331.0,3625.02,3313.0,3550.0,14722.777,51466232.4128,3495.68783204
2014-02-25,3562.41,3562.41,3050.01,3331.71,27718.153,90982188.057,3282.40442489
2014-02-24,3798.0,3798.0,3545.0,3562.41,13115.171,47825961.9655,3646.61367858
